,user_id,game_name,indicator-hours
20,151603712,Eldevin,0.5
166,53875128,Race The Sun,0.8
176,53875128,The Stanley Parable,0.6
182,53875128,Unepic,0.6
192,53875128,Galcon Legends,0.5
205,53875128,Frozen Synapse,0.4
230,53875128,Tom Clancy's Splinter Cell Chaos Theory,0.2
262,76933274,Alien Swarm,1.0
300,97298878,Race The Sun,10.5
316,97298878,Cogs,0.2
319,173909336,America's Army Proving Grounds,1118.0
384,65117175,The Stanley Parable,7.1
386,65117175,RUSH,7.1
424,65117175,Cogs,1.0
464,11373749,Hidden Object Bundle 4 in 1,27.0
494,11373749,Indigo Prophecy,12.8
580,11373749,Alien Swarm,2.7
621,11373749,The Stanley Parable,0.7
642,11373749,RUSH,0.2
664,54103616,Alien Swarm,1.9
681,264253640,Fishing Planet,0.9
704,163617342,Fishing Planet,1.9
882,56038151,"Warhammer 40,000 Space Marine",0.3
999,57103808,Defiance,3.9
1001,57103808,America's Army Proving Grounds,3.7
1055,107948398,"Warhammer 40,000 Dawn of War  Dark Crusade",228.0
1057,107948398,"Warhammer 40,000 Space Marine",37.0
1095,48058475,Alien Swarm,18.8
1195,64369759,"Warhammer 40,000 Space Marine",1.2
1321,9823354,Alien Swarm,1.1
1325,9823354,The Stanley Parable,1.0
1492,41883322,"Warhammer 40,000 Space Marine",16.2
1589,150751526,Alien Swarm,5.0
1606,150751526,Fishing Planet,0.4
1672,65716118,Alien Swarm,22.0
1845,130201800,Trove,3.0
1898,64315060,Alien Swarm,0.3
1948,42928788,Alien Swarm,0.3
2003,25096601,The Last Remnant,0.4
2045,144347801,Trove,11.3
2105,42061089,Defiance,1.5
2127,42061089,Fishing Planet,0.2
2199,189822258,Assassins Creed Unity,4.0
2275,92914917,Dungeons of Dredmor,9.4
2310,92914917,Stellar 2D,2.4
2353,92914917,Cogs,0.7
2433,72842694,Agarest Generations of War,4.0
2619,20200395,Alien Swarm,0.7
2668,65229865,Cogs,22.0
2670,65229865,Dungeons of Dredmor,17.2
2691,65229865,Sigils of Elohim,0.3
2745,65958466,"Warhammer 40,000 Space Marine",10.4
2781,65958466,"Warhammer 40,000 Dawn of War  Dark Crusade",1.4
2793,65958466,Alien Swarm,0.4
2843,43908860,The Stanley Parable,0.4
2905,49767455,Alien Swarm,0.2
2921,61676491,Alien Swarm,16.6
3003,166753156,Defiance,22.0
