,user_id,game_name,indicator-hours
0,151603712,The Elder Scrolls V Skyrim,273.0
1,151603712,Fallout 4,87.0
3,151603712,Fallout New Vegas,12.1
4,151603712,Left 4 Dead 2,8.9
6,151603712,Path of Exile,8.1
8,151603712,Left 4 Dead,3.3
9,151603712,Team Fortress 2,2.8
10,151603712,Tomb Raider,2.5
12,151603712,Dead Island Epidemic,1.4
13,151603712,BioShock Infinite,1.3
15,151603712,Fallout 3 - Game of the Year Edition,0.8
17,151603712,Grand Theft Auto IV,0.6
19,151603712,Marvel Heroes 2015,0.5
21,151603712,Dota 2,0.5
22,151603712,BioShock,0.5
23,151603712,Robocraft,0.4
24,151603712,Garry's Mod,0.1
26,187131847,Dota 2,2.3
29,59945701,The Elder Scrolls V Skyrim,58.0
30,59945701,Sid Meier's Civilization V,22.0
37,59945701,Killing Floor,3.4
39,59945701,Bastion,2.8
41,59945701,Counter-Strike Global Offensive,2.3
48,59945701,Team Fortress 2,0.1
49,53875128,Grand Theft Auto V,86.0
50,53875128,Insurgency,72.0
51,53875128,Left 4 Dead 2,71.0
55,53875128,Saints Row The Third,35.0
56,53875128,Far Cry 3,35.0
58,53875128,Rocket League,34.0
64,53875128,Just Cause 2,23.0
65,53875128,Mirror's Edge,23.0
67,53875128,Portal 2,21.0
68,53875128,Deus Ex Human Revolution,21.0
72,53875128,Batman Arkham City GOTY,16.9
80,53875128,Saints Row IV,11.1
81,53875128,DayZ,11.0
82,53875128,Half-Life 2,10.2
87,53875128,FTL Faster Than Light,9.7
88,53875128,Bastion,9.6
89,53875128,Age of Empires II HD Edition,9.0
90,53875128,Batman Arkham Asylum GOTY Edition,8.9
94,53875128,Metro 2033,7.8
96,53875128,Fallout New Vegas,7.5
106,53875128,Sid Meier's Civilization V,5.9
112,53875128,Half-Life 2 Episode Two,5.5
116,53875128,Dishonored,4.3
117,53875128,Half-Life 2 Episode One,4.2
128,53875128,Portal,2.8
134,53875128,The Binding of Isaac,2.4
139,53875128,Goat Simulator,1.9
141,53875128,Arma 2 Operation Arrowhead,1.8
145,53875128,Left 4 Dead,1.7
147,53875128,Grand Theft Auto IV,1.5
158,53875128,Arma 2,1.0
165,53875128,Borderlands 2,0.8
169,53875128,BioShock,0.8
186,53875128,Dark Souls Prepare to Die Edition,0.5
191,53875128,Half-Life 2 Lost Coast,0.5
199,53875128,Amnesia The Dark Descent,0.4
210,53875128,Dead Island,0.3
231,53875128,The Witcher Enhanced Edition,0.2
235,53875128,BattleBlock Theater,0.2
246,140954425,Team Fortress 2,13.0
247,26122540,Call of Duty Modern Warfare 2 - Multiplayer,92.0
248,26122540,Call of Duty Modern Warfare 2,47.0
249,26122540,Call of Duty Black Ops - Multiplayer,22.0
250,26122540,Counter-Strike Source,10.3
251,26122540,Dungeon Defenders,6.8
252,26122540,Call of Duty Black Ops,3.1
253,26122540,Day of Defeat Source,1.1
254,176410694,Dota 2,9.1
255,197278511,Dota 2,0.5
256,150128162,Team Fortress 2,42.0
257,197455089,Dota 2,3.4
258,63024728,Empire Total War,42.0
259,297811211,ARK Survival Evolved,29.0
260,297811211,Team Fortress 2,10.1
261,297811211,Unturned,5.6
262,76933274,Alien Swarm,1.0
263,218323237,Dota 2,14.8
264,218323237,Tomb Raider,8.8
265,218323237,TERA,0.9
266,302186258,Dota 2,4.2
267,126340495,Dota 2,1784.0
268,126340495,Counter-Strike Global Offensive,626.0
269,126340495,Counter-Strike Source,176.0
270,126340495,Rust,69.0
271,126340495,Saints Row IV,48.0
272,126340495,Team Fortress 2,16.1
275,126340495,Garry's Mod,10.2
276,126340495,Counter-Strike Nexon Zombies,5.8
278,126340495,Robocraft,2.3
279,126340495,Far Cry 3,2.2
281,126340495,Dead Island Epidemic,0.6
282,126340495,War Thunder,0.4
284,194895541,Dota 2,1.1
286,170625356,Dota 2,7.4
287,167362888,Dota 2,135.0
288,208649703,Counter-Strike Global Offensive,125.0
289,225987202,Dota 2,3.8
290,195071563,Dota 2,6.2
291,254906420,Team Fortress 2,1.2
292,247160953,Dota 2,1.9
293,308653033,Unturned,0.6
294,144138643,Dota 2,5.2
298,97298878,Mafia II,15.9
299,97298878,Nosgoth,15.8
303,97298878,Team Fortress 2,9.0
304,97298878,Dota 2,8.6
309,97298878,Super Meat Boy,4.7
313,97298878,Mirror's Edge,0.5
320,173909336,Tom Clancy's Ghost Recon Phantoms - NA,17.2
321,173909336,APB Reloaded,5.9
322,198572546,Dota 2,12.7
323,219509107,Dota 2,2.1
324,202906503,Dota 2,10.4
325,92107940,The Elder Scrolls V Skyrim,110.0
327,92107940,Garry's Mod,40.0
331,92107940,Goat Simulator,1.9
334,251431515,Dota 2,0.9
335,233558010,Batman Arkham City GOTY,79.0
337,99189757,Team Fortress 2,1085.0
338,30695285,Counter-Strike Condition Zero,36.0
339,30695285,Counter-Strike,0.2
341,201069271,Dota 2,4.8
342,48845802,Counter-Strike,211.0
343,48845802,Mount & Blade Warband,78.0
344,48845802,Counter-Strike Condition Zero,60.0
345,48845802,Castle Crashers,31.0
346,48845802,Call of Duty Black Ops,11.3
347,48845802,Call of Duty Black Ops - Multiplayer,10.0
348,48845802,Tom Clancy's Ghost Recon Phantoms - EU,7.8
349,48845802,Left 4 Dead,1.1
353,226212066,Counter-Strike Global Offensive,94.0
354,226212066,Unturned,15.0
355,226212066,Garry's Mod,10.8
356,226212066,PAYDAY 2,6.7
357,226212066,Team Fortress 2,3.6
359,226212066,AdVenture Capitalist,2.1
362,226212066,Heroes & Generals,0.2
363,221430493,Dota 2,5.3
364,62923086,Counter-Strike,91.0
365,250006052,The Elder Scrolls V Skyrim,465.0
376,65117175,Portal 2,11.3
380,65117175,Portal,9.1
403,65117175,Torchlight II,3.6
405,65117175,Amnesia The Dark Descent,3.3
417,65117175,FTL Faster Than Light,2.0
419,65117175,Team Fortress 2,1.3
420,65117175,Super Meat Boy,1.2
422,65117175,Bastion,1.1
426,65117175,Killing Floor,0.9
435,227944885,Dota 2,62.0
436,144004384,Dota 2,22.0
437,236557903,Team Fortress 2,2.0
439,236557903,BLOCKADE 3D,0.3
440,11373749,Team Fortress 2,762.0
441,11373749,Rocket League,348.0
442,11373749,Left 4 Dead 2,270.0
